"01","Agricultural Production-crops"
"011","Cash Grains"
"0111","Wheat"
"0112","Rice"
"0115","Corn"
"0116","Soybeans"
"0119","Cash Grains, Not Elsewhere Classified"
"013","Field Crops, except Cash Grains"
"0131","Cotton"
"0132","Tobacco"
"0133","Sugarcane and Sugar Beets"
"0134","Irish Potatoes"
"0139","Field Crops, except Cash Grains, Not Elsewhere Classified"
"016","Vegetables and Melons"
"0161","Vegetables and Melons"
"017","Fruits and Tree Nuts"
"0171","Berry Crops"
"0172","Grapes"
"0173","Tree Nuts"
"0174","Citrus Fruits"
"0175","Deciduous Tree Fruits"
"0179","Fruits and Tree Nuts, Not Elsewhere Classified"
"018","Horticultural Specialties"
"0181","Ornamental Floriculture and Nursery Products"
"0182","Food Crops Grown Under Cover"
"019","General Farms, Primarily Crop"
"0191","General Farms, Primarily Crop"
"02","Agricultural Production-livestock and Animal Specialties"
"021","Livestock, except Dairy and Poultry"
"0211","Beef Cattle Feedlots"
"0212","Beef Cattle, except Feedlots"
"0213","Hogs"
"0214","Sheep and Goats"
"0219","General Livestock, except Dairy and Poultry"
"024","Dairy Farms"
"0241","Dairy Farms"
"025","Poultry and Eggs"
"0251","Broiler, Fryer, and Roaster Chickens"
"0252","Chicken Eggs"
"0253","Turkeys and Turkey Eggs"
"0254","Poultry Hatcheries"
"0259","Poultry and Eggs, Not Elsewhere Classified"
"027","Animal Specialties"
"0271","Fur-bearing Animals and Rabbits"
"0272","Horses and Other Equines"
"0273","Animal Aquaculture"
"0279","Animal Specialties, Not Elsewhere Classified"
"029","General Farms, Primarily Livestock and Animal Specialties"
"0291","General Farms, Primarily Livestock and Animal Specialties"
"07","Agricultural Services"
"071","Soil Preparation Services"
"0711","Soil Preparation Services"
"072","Crop Services"
"0721","Crop Planting, Cultivating, and Protecting"
"0722","Crop Harvesting, Primarily By Machine"
"0723","Crop Preparation Services For Market, except Cotton Ginning"
"0724","Cotton Ginning"
"074","Veterinary Services"
"0741","Veterinary Services For Livestock"
"0742","Veterinary Services For Animal Specialties"
"075","Animal Services, except Veterinary"
"0751","Livestock Services, except Veterinary"
"0752","Animal Specialty Services, except Veterinary"
"076","Farm Labor and Management Services"
"0761","Farm Labor Contractors and Crew Leaders"
"0762","Farm Management Services"
"078","Landscape and Horticultural Services"
"0781","Landscape Counseling and Planning"
"0782","Lawn and Garden Services"
"0783","Ornamental Shrub and Tree Services"
"08","-forestry"
"081","Timber Tracts"
"0811","Timber Tracts"
"083","Forest Nurseries and Gathering of Forest Products"
"0831","Forest Nurseries and Gathering of Forest Products"
"085","Forestry Services"
"0851","Forestry Services"
"09","Fishing, Hunting, and Trapping"
"091","Commercial Fishing"
"0912","Finfish"
"0913","Shellfish"
"0919","Miscellaneous Marine Products"
"092","Fish Hatcheries and Preserves"
"0921","Fish Hatcheries and Preserves"
"097","Hunting and Trapping, and Game Propagation"
"0971","Hunting and Trapping, and Game Propagation"
"10","Metal Mining"
"101","Iron Ores"
"1011","Iron Ores"
"102","Copper Ores"
"1021","Copper Ores"
"103","Lead and Zinc Ores"
"1031","Lead and Zinc Ores"
"104","Gold and Silver Ores"
"1041","Gold Ores"
"1044","Silver Ores"
"106","Ferroalloy Ores, except Vanadium"
"1061","Ferroalloy Ores, except Vanadium"
"108","Metal Mining Services"
"1081","Metal Mining Services"
"109","Miscellaneous Metal Ores"
"1094","Uranium-radium-vanadium Ores"
"1099","Miscellaneous Metal Ores, Not Elsewhere Classified"
"12","Coal Mining"
"122","Bituminous Coal and Lignite Mining"
"1221","Bituminous Coal and Lignite Surface Mining"
"1222","Bituminous Coal Underground Mining"
"123","Anthracite Mining"
"1231","Anthracite Mining"
"124","Coal Mining Services"
"1241","Coal Mining Services"
"13","Oil and Gas Extraction"
"131","Crude Petroleum and Natural Gas"
"1311","Crude Petroleum and Natural Gas"
"132","Natural Gas Liquids"
"1321","Natural Gas Liquids"
"138","Oil and Gas Field Services"
"1381","Drilling Oil and Gas Wells"
"1382","Oil and Gas Field Exploration Services"
"1389","Oil and Gas Field Services, Not Elsewhere Classified"
"14","Mining and Quarrying of Nonmetallic Minerals, except Fuels"
"141","Dimension Stone"
"1411","Dimension Stone"
"142","Crushed and Broken Stone, Including Riprap"
"1422","Crushed and Broken Limestone"
"1423","Crushed and Broken Granite"
"1429","Crushed and Broken Stone, Not Elsewhere Classified"
"144","Sand and Gravel"
"1442","Construction Sand and Gravel"
"1446","Industrial Sand"
"145","Clay, Ceramic, and Refractory Minerals"
"1455","Kaolin and Ball Clay"
"1459","Clay, Ceramic, and Refractory Minerals, Not Elsewhere Classified"
